GATTUNG;ART;DEUTSCH;CX;CY;KM2;STATION;PR;DETE;OBSTYPA;METHODE_AL;LEBENSRAUM;STRUKTUR;ORT;GEMEINDE;KANTON;HöHE;TAG;MONAT;JAHR;BEOBACHTER;BESTIMMER;PROJET
Martes;foina;Steinmarder;558295;166020;558166;41;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer und Feuchtgebiete;Bach (Breite 0.5-5 m);Le Laret;CHAVANNES-LES-FORTS;FR;795;5;11;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558295;166020;558166;41;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer und Feuchtgebiete;Bach (Breite 0.5-5 m);Le Laret;CHAVANNES-LES-FORTS;FR;795;21;10;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558295;166020;558166;41;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer und Feuchtgebiete;Bach (Breite 0.5-5 m);Le Laret;CHAVANNES-LES-FORTS;FR;795;28;10;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558330;166590;558166;44;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Pflanzungen, Äcker, Kulturen;Holzlager, Holzstoss;Chavannes-les-Forts;CHAVANNES-LES-FORTS;FR;800;5;11;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558330;166590;558166;44;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Pflanzungen, Äcker, Kulturen;Holzlager, Holzstoss;Chavannes-les-Forts;CHAVANNES-LES-FORTS;FR;800;12;11;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558330;166590;558166;44;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Pflanzungen, Äcker, Kulturen;Holzlager, Holzstoss;Chavannes-les-Forts;CHAVANNES-LES-FORTS;FR;800;21;10;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558330;166590;558166;44;5;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Pflanzungen, Äcker, Kulturen;Holzlager, Holzstoss;Chavannes-les-Forts;CHAVANNES-LES-FORTS;FR;800;28;10;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;558546;166412;558166;10;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer und Feuchtgebiete;Bach (Breite 0.5-5 m);Les Ecoula;CHAVANNES-LES-FORTS;FR;785;12;11;2009;Ghali Karim; ;MONITOR_MUST
Martes;foina;Steinmarder;566230;166017;566166;55;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer mit Vegetation;Bach (Breite 0.5-5 m);Romanens  / Maules, Communs de Maules;MAULES;FR;940;6;9;2010;Fasel Nicolas;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;566230;166017;566166;55;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer mit Vegetation;Bach (Breite 0.5-5 m);Romanens  / Maules, Communs de Maules;MAULES;FR;940;28;8;2010;Capt Simon;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;567606;119650;567119;44;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Fettwiesen und -weiden;Niederhecke (Kleinsträucher);Bex, Colline de chiètre;BEX;VD;541;4;11;2010;Gex-Fabry Emilie;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;567606;119650;567119;44;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Fettwiesen und -weiden;Niederhecke (Kleinsträucher);Bex, Colline de chiètre;BEX;VD;541;21;10;2010;Gex-Fabry Emilie;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;567606;119650;567119;44;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Fettwiesen und -weiden;Niederhecke (Kleinsträucher);Bex, Colline de chiètre;BEX;VD;541;28;10;2010;Gex-Fabry Emilie;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;569878;112388;569112;42;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Eichenwälder;Waldrand;Collonges, Le Bouet, Les Sasses;DORÉNAZ;VS;770;7;10;2010;Gex-Fabry Emilie;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;569878;112388;569112;42;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Eichenwälder;Waldrand;Collonges, Le Bouet, Les Sasses;DORÉNAZ;VS;770;14;10;2010;Gex-Fabry Emilie;Marchesi Paul;MONITOR_MUST
Martes;foina;Steinmarder;572961;163177;572163;79;6;TRAC;Trittsiegel, Spurenfolge;Spurentunnel;Ufer mit Vegetation;Bach (Breite 0.5-5 m);Bulle, Le Vessier;LA TOUR-DE-TRÊME;FR;700;9;9;2010;Ghali Karim;Marchesi Paul;MONITOR_MUST
