Datum;Gehege;Tierart;TubeCam;Wildtierkamera;von;foto_von;bis;foto_bis;verweildauer;erscheint_ploetzlich;verschwindet_ploetzlich;Bemerkung;Versuchstyp;exposure_time;frames_per_sequence;frames_per_second;material;LEDS
04.05.2017;D;Hermelin;S00;W17;10:28:29;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0473I00.JPG;10:28:36;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0473I31.JPG;00:00:07;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;10:32:12;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0474I04.JPG;10:32:17;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0474I23.JPG;00:00:05;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;10:36:29;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0475I00.JPG;10:36:30;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0475I03.JPG;00:00:01;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;10:42:28;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0476I00.JPG;10:42:36;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0476I33.JPG;00:00:08;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;15:02:51;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0478I00.JPG;15:02:52;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0478I06.JPG;00:00:01;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;15:05:05;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0479I00.JPG;15:05:07;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0479I12.JPG;00:00:02;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;15:05:10;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0479I21.JPG;15:05:11;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0479I25.JPG;00:00:01;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;15:42:28;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0480I00.JPG;15:42:39;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0480I46.JPG;00:00:11;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;16:19:12;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0483I00.JPG;16:19:17;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0483I18.JPG;00:00:05;;;;versuchsphase;1/200;5;4;bitumen;4
04.05.2017;D;Hermelin;S00;W17;16:26:26;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0485I08.JPG;16:26:30;Daten_Erhebung\2017_05_04_Versuchsphase_1.1\Gehege_D_S00\S00\S0485I26.JPG;00:00:04;;;;versuchsphase;1/200;5;4;bitumen;4
